0,1,300,10,0.2,3450
0,1,300,12,0.2,3350
0,1,300,14,0.2,3350
0,1,300,15,0.15,3350
0,1,300,16,0.15,3350
0,1,300,18,0.15,3300
0,1,300,20,0.15,3300
0,1,300,25,0.1,3300
0,1,300,30,0.04,3300
0,2,300,10,0.12,3300
0,2,300,12,0.12,3300
0,2,300,14,0.12,3300
0,2,300,15,0.04,3300
0,2,300,16,0.04,3300
0,2,300,18,0,3300
0,2,300,20,0,3330
0,2,300,25,-0.05,3400
0,2,300,30,-0.08,3550
0,3,300,10,0.05,3300
0,3,300,12,0,3300
0,3,300,14,0,3300
0,3,300,15,0,3300
0,3,300,16,-0.05,3350
0,3,300,18,-0.05,3350
0,3,300,20,-0.06,3450
0,3,300,25,-0.1,3700
0,3,300,30,-0.12,3800
0,1,400,10,0,4000
0,1,400,12,0,3950
0,1,400,14,0,3950
0,1,400,15,0,3950
0,1,400,16,0,3950
0,1,400,18,0,3950
0,1,400,20,0,3950
0,1,400,25,-0.01,4050
0,1,400,30,0.05,4200
0,2,400,10,0,3950
0,2,400,12,0,3950
0,2,400,14,0,3980
0,2,400,15,-0.02,3980
0,2,400,16,-0.02,4000
0,2,400,18,-0.05,4050
0,2,400,20,-0.05,4150
0,2,400,25,-0.1,4300
0,2,400,30,-0.1,4500
0,3,400,10,0,3950
0,3,400,12,-0.05,4000
0,3,400,14,-0.05,4100
0,3,400,15,-0.05,4100
0,3,400,16,-0.05,4150
0,3,400,18,-0.1,4250
0,3,400,20,-0.1,4350
0,3,400,25,-0.1,4500
1,3,400,30,-0.12,4500
0,1,500,10,0,4600
0,1,500,12,0,4550
0,1,500,14,0,4550
0,1,500,15,0,4550
0,1,500,16,0,4550
0,1,500,18,-0.01,4600
0,1,500,20,-0.01,4680
0,1,500,25,0.03,4800
0,1,500,30,0.06,4850
0,2,500,10,0,4500
0,2,500,12,-0.02,4550
0,2,500,14,-0.02,4600
0,2,500,15,-0.02,4650
0,2,500,16,-0.05,4700
0,2,500,18,-0.05,4800
0,2,500,20,-0.05,4850
1,2,500,25,-0.08,4950
1,2,500,30,-0.08,4950
0,3,500,10,-0.05,4600
0,3,500,12,-0.05,4700
0,3,500,14,-0.08,4800
0,3,500,15,-0.08,4850
0,3,500,16,-0.08,4900
1,3,500,18,-0.08,5000
1,3,500,20,-0.08,5000
1,3,500,25,-0.08,5000
1,3,500,30,-0.08,5000
0,1,600,10,0.04,5200
0,1,600,12,0.04,5200
0,1,600,14,0.04,5200
0,1,600,15,0.04,5200
0,1,600,16,0.04,5200
0,1,600,18,0.04,5300
0,1,600,20,0.04,5350
0,1,600,25,0.08,5500
1,1,600,30,0.08,5500
0,2,600,10,0.02,5200
0,2,600,12,0,5250
0,2,600,14,0,5400
0,2,600,15,0,5400
0,2,600,16,0,5400
0,2,600,18,0,5500
0,2,600,20,0,5500
1,2,600,25,0,5500
1,2,600,30,0,5500
0,3,600,10,0,5350
0,3,600,12,0,5400
0,3,600,14,0,5500
0,3,600,15,-0.03,5650
1,3,600,16,-0.03,5650
1,3,600,18,-0.03,5650
1,3,600,20,-0.03,5650
1,3,600,25,-0.03,5650
1,3,600,30,-0.03,5650
